Wind_Speed,Rotor_Speed,Temperature,Oil_Pressure,Vibration,Amperage,Fault
8.5,120,25,180000,0.15,50,0
7.2,100,20,160000,0.12,45,1
9.8,150,30,200000,0.18,60,0
6.5,90,18,140000,0.1,40,0
8.0,110,22,170000,0.14,48,0
7.0,95,21,150000,0.13,42,1
10.5,160,32,220000,0.2,65,0
8.2,125,26,185000,0.16,52,0
9.0,135,28,190000,0.17,55,1
7.8,105,23,165000,0.15,47,0
8.7,130,27,188000,0.16,53,0
7.5,115,24,175000,0.14,49,1
9.5,145,29,195000,0.19,62,0
6.8,98,19,145000,0.11,43,0
8.9,133,28,192000,0.17,56,0
7.4,107,23,167000,0.15,48,1
10.0,155,31,210000,0.21,68,0
8.4,123,26.5,183000,0.16,51,0
9.3,140,28.5,198000,0.18,58,0
7.7,110,22.5,168000,0.14,46,0
8.1,118,24.5,176000,0.15,50,1
8.3,122,25.2,179000,0.16,51,0
7.9,112,23.8,170000,0.15,49,0
9.2,134,28.3,193000,0.17,56,0
6.7,96,19.7,147000,0.11,44,0
7.3,104,21.5,155000,0.13,46,0
8.6,128,26.8,187000,0.16,52,0
9.1,138,27.5,194000,0.17,54,0
7.6,108,23.2,163000,0.15,48,1
8.8,132,28.1,191000,0.17,55,1
7.1,97,20.8,153000,0.13,45,1
8.4,116,24.9,174000,0.14,50,0
9.6,142,29.6,197000,0.18,58,0
6.9,99,20.1,152000,0.12,43,0
8.7,128,27.3,188000,0.16,52,0
8.2,114,23.5,166000,0.14,47,1
9.4,137,28.8,196000,0.18,57,0
7.8,106,22.3,162000,0.14,46,0
8.0,120,25.4,182000,0.16,51,0
9.0,136,28.2,189000,0.17,54,0
7.5,107,23.7,169000,0.15,48,1
8.5,124,26.6,184000,0.16,52,0
9.3,131,27.9,190000,0.17,54,0
7.4,109,23.1,164000,0.14,47,0
8.6,133,28.4,192000,0.17,55,1
6.5,95,19.2,148000,0.12,43,0
8.1,121,25.1,181000,0.16,51,0
9.2,138,28.7,195000,0.18,56,0
7.7,112,23.9,171000,0.15,49,0
8.3,130,27.4,189000,0.17,54,0
9.5,135,28.3,193000,0.18,57,0
7.0,100,20.5,157000,0.13,45,1
8.9,134,28.1,191000,0.17,55,1
6.8,98,19.8,149000,0.11,44,0
8.4,125,26.3,186000,0.16,51,0
9.7,143,29.2,196000,0.18,57,0
7.3,104,21.2,158000,0.13,46,0
8.2,120,25.6,183000,0.16,52,0
9.1,136,28.5,194000,0.17,56,0
7.5,107,23.5,167000,0.15,48,1
8.6,128,26.9,188000,0.16,53,0
9.4,137,28.8,197000,0.18,58,0
6.9,99,20.2,153000,0.12,44,0
8.7,128,27.4,189000,0.17,54,0
7.8,110,22.8,165000,0.15,47,0
8.1,116,24.7,173000,0.14,49,0